year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,150,350,350,2,2,42.857142857142854,42.857142857142854,False,False,False
2020,142,348,350,1,1,40.57142857142857,40.804597701149426,False,False,False
2021,131,350,350,1,1,37.42857142857143,37.42857142857143,False,False,False
2022,146,350,350,2,2,41.714285714285715,41.714285714285715,False,False,False
2023,126,349,350,1,1,36.0,36.10315186246418,False,False,False
2024,134,348,350,1,1,38.285714285714285,38.50574712643678,False,False,False
