year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,157,349,350,2,2,44.857142857142854,44.985673352435526,False,False,False
2020,178,350,350,4,4,50.857142857142854,50.857142857142854,False,False,False
2021,155,350,350,3,3,44.285714285714285,44.285714285714285,False,False,False
2022,156,350,350,3,3,44.57142857142857,44.57142857142857,False,False,False
2023,149,350,350,2,2,42.57142857142857,42.57142857142857,False,False,False
2024,145,350,350,2,2,41.42857142857143,41.42857142857143,False,False,False
