year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,239,350,350,4,4,68.28571428571428,68.28571428571428,True,True,True
2020,258,349,350,4,4,73.71428571428571,73.92550143266476,True,True,True
2021,226,349,350,4,4,64.57142857142857,64.75644699140402,True,True,True
2022,225,350,350,4,4,64.28571428571429,64.28571428571429,True,True,True
2023,237,349,350,4,4,67.71428571428572,67.90830945558739,True,True,True
2024,229,350,350,3,3,65.42857142857143,65.42857142857143,True,True,False
