year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,188,350,350,3,3,53.714285714285715,53.714285714285715,False,False,False
2020,206,350,350,4,4,58.857142857142854,58.857142857142854,False,False,False
2021,182,350,350,4,4,52.0,52.0,False,False,False
2022,174,350,350,3,3,49.714285714285715,49.714285714285715,False,False,False
2023,178,350,350,2,2,50.857142857142854,50.857142857142854,False,False,False
2024,210,350,350,3,3,60.0,60.0,True,True,False
