year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,159,350,350,2,2,45.42857142857143,45.42857142857143,False,False,False
2020,186,350,350,3,3,53.142857142857146,53.142857142857146,False,False,False
2021,171,350,350,4,4,48.857142857142854,48.857142857142854,False,False,False
2022,161,350,350,2,2,46.0,46.0,False,False,False
2023,169,350,350,3,3,48.285714285714285,48.285714285714285,False,False,False
2024,160,350,350,3,3,45.714285714285715,45.714285714285715,False,False,False
