year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,283,347,350,4,4,80.85714285714286,81.55619596541787,True,True,True
2020,291,349,350,4,4,83.14285714285714,83.3810888252149,True,True,True
2021,273,346,350,4,4,78.0,78.90173410404624,True,True,True
2022,263,349,350,4,4,75.14285714285714,75.35816618911176,True,True,True
2023,277,349,350,4,4,79.14285714285715,79.36962750716332,True,True,True
2024,281,348,350,4,4,80.28571428571428,80.74712643678161,True,True,True
