year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,223,350,350,4,4,63.714285714285715,63.714285714285715,True,True,True
2020,246,350,350,4,4,70.28571428571428,70.28571428571428,True,True,True
2021,223,350,350,4,4,63.714285714285715,63.714285714285715,True,True,True
2022,219,350,350,4,4,62.57142857142857,62.57142857142857,True,True,True
2023,233,350,350,4,4,66.57142857142857,66.57142857142857,True,True,True
2024,204,350,350,4,4,58.285714285714285,58.285714285714285,False,False,False
