year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,244,350,350,4,4,69.71428571428572,69.71428571428572,True,True,True
2020,233,350,350,4,4,66.57142857142857,66.57142857142857,True,True,True
2021,232,350,350,3,3,66.28571428571428,66.28571428571428,True,True,False
2022,206,350,350,4,4,58.857142857142854,58.857142857142854,False,False,False
2023,228,350,350,4,4,65.14285714285715,65.14285714285715,True,True,True
2024,213,350,350,3,3,60.857142857142854,60.857142857142854,True,True,False
