,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,4-1,1,2,3,4
gemma-2-27b-it,0.8787878787878788,0.8666666666666667,0.8245614035087719,0.7416666666666667,0.7916666666666666,0.5979381443298969,0.55,0.5531914893617021,0.5784313725490197,0.6944444444444444,0.7186147186147186,0.6410256410256411,0.49038461538461536,0.6346153846153846,0.48333333333333334,0.8184991273996509,0.6057007125890737,0.6646489104116223,0.48333333333333334
MoMo-72B-lora-1.8.7-DPO,0.8585858585858586,0.8916666666666667,0.8859649122807017,0.7833333333333333,0.8,0.4845360824742268,0.4,0.5,0.5196078431372549,0.7037037037037037,0.6623376623376623,0.6217948717948718,0.47115384615384615,0.5769230769230769,0.475,0.8429319371727748,0.5486935866983373,0.6198547215496368,0.475
Qwen-72B-Chat,0.8282828282828283,0.8666666666666667,0.8333333333333334,0.7583333333333333,0.8,0.5670103092783505,0.5,0.5212765957446809,0.5490196078431373,0.75,0.70995670995671,0.6346153846153846,0.5,0.625,0.5,0.8167539267015707,0.5961995249406176,0.6585956416464891,0.5
Yi-1.5-34B-Chat,0.6464646464646465,0.625,0.5964912280701754,0.5083333333333333,0.45,0.4020618556701031,0.35,0.35106382978723405,0.35294117647058826,0.5740740740740741,0.5043290043290043,0.4807692307692308,0.33653846153846156,0.4326923076923077,0.4583333333333333,0.5619546247818499,0.42042755344418054,0.46973365617433416,0.4583333333333333
Phi-3-medium-4k-instruct,0.696969696969697,0.625,0.6578947368421053,0.5,0.4,0.36082474226804123,0.4,0.2978723404255319,0.39215686274509803,0.5,0.5086580086580087,0.3782051282051282,0.3173076923076923,0.4423076923076923,0.3416666666666667,0.5706806282722513,0.3919239904988123,0.4515738498789346,0.3416666666666667
gpt-3.5-turbo-0125,0.8080808080808081,0.7416666666666667,0.7894736842105263,0.7083333333333334,0.6416666666666667,0.44329896907216493,0.55,0.425531914893617,0.5294117647058824,0.6944444444444444,0.6190476190476191,0.5961538461538461,0.4326923076923077,0.3942307692307692,0.39166666666666666,0.7347294938917975,0.5296912114014252,0.562953995157385,0.39166666666666666
c4ai-command-r-plus,0.7878787878787878,0.85,0.8421052631578947,0.7166666666666667,0.8416666666666667,0.5567010309278351,0.45,0.46808510638297873,0.5588235294117647,0.7870370370370371,0.6818181818181818,0.6153846153846154,0.5192307692307693,0.5769230769230769,0.5166666666666667,0.8080279232111692,0.5914489311163895,0.635593220338983,0.5166666666666667
Qwen2-7B-Instruct,0.7676767676767676,0.725,0.7982456140350878,0.575,0.6833333333333333,0.5154639175257731,0.5,0.4787234042553192,0.47058823529411764,0.6388888888888888,0.5497835497835498,0.5128205128205128,0.4326923076923077,0.5192307692307693,0.45,0.7068062827225131,0.5273159144893111,0.5242130750605327,0.45
Meta-Llama-3-8B-Instruct,0.7272727272727273,0.7416666666666667,0.7543859649122807,0.5833333333333334,0.5666666666666667,0.3711340206185567,0.45,0.3723404255319149,0.4117647058823529,0.5925925925925926,0.5476190476190477,0.5128205128205128,0.34615384615384615,0.4423076923076923,0.4083333333333333,0.6719022687609075,0.4418052256532066,0.5024213075060533,0.4083333333333333
Phi-3-small-8k-instruct,0.494949494949495,0.5833333333333334,0.631578947368421,0.425,0.31666666666666665,0.29896907216494845,0.15,0.3404255319148936,0.3137254901960784,0.3888888888888889,0.4588744588744589,0.3782051282051282,0.28846153846153844,0.33653846153846156,0.3,0.4886561954624782,0.32779097387173395,0.4067796610169492,0.3
chat-bison@001,0.7373737373737373,0.7833333333333333,0.8333333333333334,0.725,0.8333333333333334,0.5154639175257731,0.35,0.5,0.5588235294117647,0.7407407407407407,0.6428571428571429,0.5897435897435898,0.4519230769230769,0.5673076923076923,0.475,0.7835951134380453,0.5724465558194775,0.5992736077481841,0.475
gemma-2-9b-it,0.8181818181818182,0.7666666666666667,0.7719298245614035,0.65,0.725,0.5257731958762887,0.3,0.48936170212765956,0.39215686274509803,0.5740740740740741,0.5151515151515151,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.35,0.743455497382199,0.48693586698337293,0.5060532687651331,0.35
Phi-3-mini-4k-instruct,0.5858585858585859,0.45,0.5,0.38333333333333336,0.275,0.28865979381443296,0.25,0.3723404255319149,0.27450980392156865,0.3333333333333333,0.3246753246753247,0.30128205128205127,0.2692307692307692,0.28846153846153844,0.225,0.4328097731239092,0.31353919239904987,0.30871670702179177,0.225
SOLAR-0-70b-16bit,0.5656565656565656,0.6583333333333333,0.6754385964912281,0.4666666666666667,0.5916666666666667,0.4329896907216495,0.25,0.35106382978723405,0.4803921568627451,0.42592592592592593,0.538961038961039,0.5,0.3557692307692308,0.4230769230769231,0.38333333333333336,0.5916230366492147,0.4156769596199525,0.4939467312348668,0.38333333333333336
SOLAR-10.7B-Instruct-v1.0,0.6666666666666666,0.6916666666666667,0.6754385964912281,0.5166666666666667,0.575,0.4742268041237113,0.3,0.39361702127659576,0.4117647058823529,0.5740740740740741,0.5194805194805194,0.5448717948717948,0.375,0.4230769230769231,0.31666666666666665,0.6230366492146597,0.4584323040380047,0.4939467312348668,0.31666666666666665
Yi-1.5-9B-Chat,0.6161616161616161,0.475,0.4824561403508772,0.43333333333333335,0.3416666666666667,0.38144329896907214,0.25,0.3404255319148936,0.3431372549019608,0.4351851851851852,0.4004329004329004,0.34615384615384615,0.3269230769230769,0.28846153846153844,0.2916666666666667,0.4642233856893543,0.37054631828978624,0.3668280871670702,0.2916666666666667
c4ai-command-r-v01,0.7070707070707071,0.7583333333333333,0.7543859649122807,0.6416666666666667,0.75,0.5051546391752577,0.4,0.40425531914893614,0.5392156862745098,0.75,0.6103896103896104,0.5384615384615384,0.3942307692307692,0.5384615384615384,0.4166666666666667,0.7225130890052356,0.5486935866983373,0.5605326876513317,0.4166666666666667
Llama-2-70b-chat-hf,0.32323232323232326,0.4583333333333333,0.41228070175438597,0.3333333333333333,0.35833333333333334,0.31958762886597936,0.3,0.24468085106382978,0.28431372549019607,0.21296296296296297,0.3398268398268398,0.40384615384615385,0.23076923076923078,0.3076923076923077,0.25,0.3787085514834206,0.2660332541567696,0.3341404358353511,0.25
