year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,243,350,350,4,4,69.42857142857143,69.42857142857143,True,True,True
2020,241,350,350,4,4,68.85714285714286,68.85714285714286,True,True,True
2021,228,350,350,4,4,65.14285714285715,65.14285714285715,True,True,True
2022,215,350,350,4,4,61.42857142857143,61.42857142857143,True,True,True
2023,238,350,350,4,4,68.0,68.0,True,True,True
2024,213,350,350,4,4,60.857142857142854,60.857142857142854,True,True,True
