year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,234,349,350,4,4,66.85714285714286,67.0487106017192,True,True,True
2020,249,350,350,4,4,71.14285714285714,71.14285714285714,True,True,True
2021,221,350,350,4,4,63.142857142857146,63.142857142857146,True,True,True
2022,220,350,350,4,4,62.857142857142854,62.857142857142854,True,True,True
2023,240,350,350,4,4,68.57142857142857,68.57142857142857,True,True,True
2024,219,350,350,3,3,62.57142857142857,62.57142857142857,True,True,False
