year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,264,350,350,4,4,75.42857142857143,75.42857142857143,True,True,True
2020,270,350,350,4,4,77.14285714285715,77.14285714285715,True,True,True
2021,240,350,350,4,4,68.57142857142857,68.57142857142857,True,True,True
2022,246,350,350,4,4,70.28571428571428,70.28571428571428,True,True,True
2023,258,350,350,4,4,73.71428571428571,73.71428571428571,True,True,True
2024,234,350,350,3,3,66.85714285714286,66.85714285714286,True,True,False
