year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,218,350,350,3,3,62.28571428571429,62.28571428571429,True,True,False
2020,229,349,350,4,4,65.42857142857143,65.61604584527221,True,True,True
2021,202,350,350,4,4,57.714285714285715,57.714285714285715,False,False,False
2022,196,350,350,3,3,56.00000000000001,56.00000000000001,False,False,False
2023,226,350,350,4,4,64.57142857142857,64.57142857142857,True,True,True
2024,207,349,350,4,4,59.14285714285714,59.31232091690545,False,False,False
