year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,219,350,350,3,3,62.57142857142857,62.57142857142857,True,True,False
2020,224,350,350,3,3,64.0,64.0,True,True,False
2021,200,350,350,4,4,57.14285714285714,57.14285714285714,False,False,False
2022,179,350,350,4,4,51.142857142857146,51.142857142857146,False,False,False
2023,217,350,350,4,4,62.0,62.0,True,True,True
2024,199,350,350,3,3,56.85714285714286,56.85714285714286,False,False,False
