year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,250,350,350,4,4,71.42857142857143,71.42857142857143,True,True,True
2020,266,350,350,4,4,76.0,76.0,True,True,True
2021,245,350,350,4,4,70.0,70.0,True,True,True
2022,218,350,350,4,4,62.28571428571429,62.28571428571429,True,True,True
2023,244,350,350,4,4,69.71428571428572,69.71428571428572,True,True,True
2024,237,350,350,4,4,67.71428571428572,67.71428571428572,True,True,True
