year,score,solved,total,40_pass,40_pass*,rate,rate*,60_pass,60_pass*,pass
2019,243,350,350,3,3,69.42857142857143,69.42857142857143,True,True,False
2020,261,350,350,4,4,74.57142857142857,74.57142857142857,True,True,True
2021,225,350,350,4,4,64.28571428571429,64.28571428571429,True,True,True
2022,234,350,350,4,4,66.85714285714286,66.85714285714286,True,True,True
2023,239,350,350,4,4,68.28571428571428,68.28571428571428,True,True,True
2024,223,350,350,3,3,63.714285714285715,63.714285714285715,True,True,False
